family_key;source;indicator_id;dimension;value;added_by;added_at;note
tasso_di_istruzione_terziaria_nella_fascia_d_eta_30_34_anni;territorial;340;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Tasso di istruzione terziaria nella fascia d'età 30-34 anni
tasso_di_istruzione_terziaria_nella_fascia_d_eta_30_34_anni;territorial;339;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Tasso di istruzione terziaria nella fascia d'età 30-34 anni
tasso_di_occupazione;territorial;178;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Tasso di occupazione
tasso_di_occupazione;territorial;177;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Tasso di occupazione
tasso_di_occupazione;territorial;13;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Tasso di occupazione
tasso_di_occupazione_20_64_anni;territorial;347;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Tasso di occupazione 20-64 anni
tasso_di_occupazione_20_64_anni;territorial;346;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Tasso di occupazione 20-64 anni
tasso_di_occupazione_20_64_anni;territorial;345;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Tasso di occupazione 20-64 anni
tasso_di_occupazione_della_popolazione_straniera;territorial;482;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Tasso di occupazione della popolazione straniera
tasso_di_occupazione_della_popolazione_straniera;territorial;481;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Tasso di occupazione della popolazione straniera
tasso_di_occupazione_della_popolazione_straniera;territorial;455;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Tasso di occupazione della popolazione straniera
tasso_di_occupazione_giovanile;territorial;476;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Tasso di occupazione giovanile
tasso_di_occupazione_giovanile;territorial;475;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Tasso di occupazione giovanile
tasso_di_occupazione_giovanile;territorial;407;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Tasso di occupazione giovanile
tasso_di_occupazione_over_54;territorial;182;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Tasso di occupazione over 54
tasso_di_occupazione_over_54;territorial;181;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Tasso di occupazione over 54
tasso_di_occupazione_over_54;territorial;14;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Tasso di occupazione over 54
tasso_di_partecipazione_nell_istruzione_secondaria_superiore;territorial;192;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Tasso di partecipazione nell'istruzione secondaria superiore
tasso_di_partecipazione_nell_istruzione_secondaria_superiore;territorial;191;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Tasso di partecipazione nell'istruzione secondaria superiore
tasso_di_partecipazione_nell_istruzione_secondaria_superiore;territorial;248;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Tasso di partecipazione nell'istruzione secondaria superiore
tasso_giovani_neet;territorial;478;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Tasso giovani NEET
tasso_giovani_neet;territorial;477;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Tasso giovani NEET
tasso_giovani_neet;territorial;408;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Tasso giovani NEET
utilizzo_di_mezzi_pubblici_di_trasporto_da_parte_di_occupati_studenti_scolari_e_utenti_di_mezzi_pubblici;territorial;208;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Utilizzo di mezzi pubblici di trasporto da parte di occupati, studenti, scolari e utenti di mezzi pubblici
utilizzo_di_mezzi_pubblici_di_trasporto_da_parte_di_occupati_studenti_scolari_e_utenti_di_mezzi_pubblici;territorial;207;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Utilizzo di mezzi pubblici di trasporto da parte di occupati, studenti, scolari e utenti di mezzi pubblici
utilizzo_di_mezzi_pubblici_di_trasporto_da_parte_di_occupati_studenti_scolari_e_utenti_di_mezzi_pubblici;territorial;129;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Utilizzo di mezzi pubblici di trasporto da parte di occupati, studenti, scolari e utenti di mezzi pubblici
