indicatore,codice,livello,territorio,anno,valore,unita,fonte,archivio
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Calabria,2006,1.2,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Calabria,2007,0.8,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Calabria,2008,1.0,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Calabria,2009,1.0,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Calabria,2010,1.1,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Calabria,2011,0.7,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Calabria,2012,0.7,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Calabria,2013,0.6,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Calabria,2014,0.7,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Calabria,2015,0.6,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
