indicatore,codice,livello,territorio,anno,valore,unita,fonte,archivio
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Molise,2021,37.8,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Molise,2022,39.9,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Molise,2023,35.3,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Molise,2024,38.9,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Molise,2025,38.6,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Piemonte,2018,30.4,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Piemonte,2019,31.8,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Piemonte,2021,35.9,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Piemonte,2022,35.7,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Piemonte,2023,36.1,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
